    90	 9.504823087003E+01
   180	 8.734347807977E+01
   270	 8.029150527394E+01
   360	 5.272651162441E+01
   450	 5.272651162441E+01
   540	 5.272651162441E+01
   630	 5.272651162441E+01
   720	 5.272651162441E+01
   810	 5.272651162441E+01
   900	 5.272651162441E+01
   990	 5.272651162441E+01
  1080	 5.272651162441E+01
  1170	 5.272651162441E+01
  1260	 5.272651162441E+01
  1350	 5.272651162441E+01
  1440	 5.272651162441E+01
  1530	 5.272651162441E+01
  1620	 5.272651162441E+01
  1710	 5.272651162441E+01
  1800	 5.272651162441E+01
  1890	 5.272651162441E+01
  1980	 5.272651162441E+01
  2070	 5.272651162441E+01
  2160	 5.272651162441E+01
  2250	 5.272651162441E+01
  2340	 5.272651162441E+01
  2430	 5.272651162441E+01
  2520	 5.272651162441E+01
  2610	 5.272651162441E+01
  2700	 5.272651162441E+01
  2790	 5.272651162441E+01
  2880	 5.272651162441E+01
  2970	 5.272651162441E+01
  3060	 5.272651162441E+01
  3150	 5.272651162441E+01
  3240	 5.272651162441E+01
  3330	 5.272651162441E+01
  3420	 5.272651162441E+01
  3510	 5.272651162441E+01
  3600	 5.272651162441E+01
  3690	 5.272651162441E+01
  3780	 5.272651162441E+01
  3870	 5.272651162441E+01
  3960	 4.268917892300E+01
